Tarih,Sembol,Giriş (Buy_L),Stop (SL),Hedef 1 (TP1),Hedef 2 (TP2)
28 Ocak,🔍 BBD,7.5,4.13,3.91,4.26
28 Ocak,🔍 NWG,7.4,18.14,17.41,18.62
28 Ocak,🔍 MPWR,7.4,1166.96,1088.44,1215.78
28 Ocak,🔍 ZM,7.4,96.59,90.59,100.23
28 Ocak,🔍 EC,7.4,12.6,11.74,13.15
28 Ocak,🔍 GFS,7.4,46.06,42.16,48.62
28 Ocak,🔍 TTE,7.3,71.95,69.27,73.88
28 Ocak,🔍 SLB,7.3,49.12,46.21,50.86
28 Ocak,🔍 ASX,7.3,20.24,19.21,20.82
28 Ocak,🔍 MCHP,7.3,81.28,76.01,84.51
27 Ocak,🔍 GFS,8,47.37,43.54,49.85
27 Ocak,🔍 ERIC,7.7,11.14,10.57,11.45
27 Ocak,🔍 TDY,7.6,614.66,583.1,632.54
27 Ocak,🔍 ZM,7.4,94.86,88.94,98.46
27 Ocak,🔍 PAAS,7.4,63.93,58.24,67.71
27 Ocak,🔍 ITUB,7.3,8.74,8.32,8.98
27 Ocak,🔍 PBR,7.3,14.97,14.2,15.41
27 Ocak,🔍 NU,7.3,18.43,17.42,19.03
27 Ocak,🔍 B,7.3,51.62,48.33,53.64
27 Ocak,🔍 BBD,7.3,4.14,3.91,4.26
27 Ocak,🔍 MT,7.3,55.46,52.69,57.01
27 Ocak,🔍 AMD,7.2,250.52,230.53,263.51
27 Ocak,🔍 AMAT,7.2,333.62,310.74,347.93
27 Ocak,🔍 WPM,7.2,148.56,138.12,155.13
27 Ocak,🔍 AU,7.2,108.4,99.72,114.05
27 Ocak,🔍 FNV,7.2,259.39,242.67,269.65
27 Ocak,🔍 KGC,7.2,37.53,34.68,39.35
27 Ocak,🔍 KEP,7.2,21.35,19.71,22.4
27 Ocak,🔍 TECK,7.2,55.94,52.05,58.38
27 Ocak,🔍 GILD,7.1,140.55,132.81,145.06
26 Ocak,🔥 BKR,8.5,56.29,52.99,58.25
26 Ocak,🔍 AU,8.2,108.09,99.44,113.71
26 Ocak,🔍 FNV,8.2,259.31,243.05,269.21
26 Ocak,🔍 ZM,8.1,95.46,89.68,98.94
26 Ocak,🔍 MU,8,389.09,354.76,411.88
26 Ocak,🔍 AEM,8,215.41,200.99,224.36
26 Ocak,🔍 FCX,8,61.17,57,63.77
26 Ocak,🔍 B,8,51.29,48.06,53.26
26 Ocak,🔍 GFI,8,54.68,49.9,57.84
26 Ocak,🔍 ERIC,8,10.68,10.16,10.97
26 Ocak,🔍 HAL,8,34.16,31.94,35.53
26 Ocak,🔍 PAAS,8,64.82,59.17,68.56
26 Ocak,🔍 SLB,7.9,49.7,46.87,51.37
26 Ocak,🔍 MT,7.9,53.62,50.94,55.12
26 Ocak,🔍 AMD,7.8,251.31,230.96,264.57
26 Ocak,🔍 NEM,7.8,125.92,118.22,130.57
26 Ocak,🔍 WPM,7.8,147.86,137.64,154.27
26 Ocak,🔍 KGC,7.8,37.87,35.07,39.65
26 Ocak,🔍 TECK,7.8,54.75,50.82,57.24
26 Ocak,🔍 GFS,7.8,44.22,40.74,46.47
23 Ocak,🔍 B,8,50.31,47.22,52.19
23 Ocak,🔍 AU,8,105.07,97.04,110.24
23 Ocak,🔍 FNV,8,255.46,239.63,265.06
23 Ocak,🔍 MT,8,54.15,51.55,55.61
23 Ocak,🔍 PAAS,8,64.35,59.02,67.84
23 Ocak,🔍 GFI,7.8,53.3,48.91,56.17
23 Ocak,🔍 ERIC,7.8,10.51,10,10.79
23 Ocak,🔍 TECK,7.8,53.39,49.6,55.78
23 Ocak,🔍 TTE,7.6,68.66,66.07,70.51
23 Ocak,🔍 PBR,7.6,14.16,13.46,14.56
23 Ocak,🔍 KMI,7.6,29.6,28.27,30.4
23 Ocak,🔍 ALB,7.6,191.08,175.83,200.99
23 Ocak,🔍 SCCO,7.5,182.76,169.88,190.87
23 Ocak,🔍 MU,7.4,399.73,364.97,422.74
23 Ocak,🔍 PPG,7.4,111.62,106.81,114.62
23 Ocak,🔍 CSX,7.3,37.19,35.54,38.2
23 Ocak,🔍 SNDK,7.3,476.01,416.42,517.97
23 Ocak,🔍 XOM,7.2,135.3,129.64,138.94
23 Ocak,🔍 AMD,7.2,256.79,236.24,270.14
23 Ocak,🔍 AMAT,7.2,321.61,298.87,335.94
22 Ocak,🔍 PBR,8.2,13.65,12.96,14.04
22 Ocak,🔍 CCJ,8,121.61,112.67,127.3
22 Ocak,🔍 MT,7.9,53.79,51.16,55.26
22 Ocak,🔍 KMI,7.7,30.01,28.67,30.82
22 Ocak,🔍 BKR,7.7,54.22,51.15,56.03
22 Ocak,🔍 TTE,7.6,67.07,64.57,68.87
22 Ocak,🔍 FTAI,7.6,290.51,265.48,307.04
22 Ocak,🔍 NU,7.5,17.92,16.88,18.54
22 Ocak,🔍 APH,7.3,151.81,141.68,158.1
22 Ocak,🔍 SCCO,7.3,180.74,168.73,188.18
22 Ocak,🔍 SNDK,7.3,491.1,433.65,531.16
22 Ocak,🔍 ADM,7.3,67.7,64.15,69.73
22 Ocak,🔍 WMT,7.2,118.14,112.78,121.32
22 Ocak,🔍 XOM,7.2,133.46,127.84,137.04
22 Ocak,🔍 MU,7.2,393.55,359.41,416.14
22 Ocak,🔍 TMO,7.2,638.48,608.73,655.65
22 Ocak,🔍 MNST,7.2,80.9,77.53,83.08
22 Ocak,🔍 CMI,7.2,585.53,560.04,601.27
22 Ocak,🔍 CNQ,7.2,35.53,33.52,36.72
22 Ocak,🔍 EPD,7.2,33.19,32.16,34.08
21 Ocak,🔍 SCCO,7.4,183.65,171.47,191.19
21 Ocak,🔍 CTVA,7.4,71.43,68.22,73.35
21 Ocak,🔍 UMC,7.4,11.07,10.36,11.51
21 Ocak,🔍 SNDK,7.3,489.25,433.36,528.09
21 Ocak,🔍 FNV,7.3,253.67,238.38,262.86
21 Ocak,🔍 KTOS,7.3,117.44,104.39,126.48
21 Ocak,🔍 NI,7.3,43.49,41.81,44.66
21 Ocak,🔍 TSM,7.2,328.35,308.35,340.41
21 Ocak,🔍 LYG,7.2,5.51,5.32,5.65
21 Ocak,🔍 CMI,7.2,575.5,550.65,590.97
21 Ocak,🔍 EQNR,7.2,25.57,24.29,26.29
21 Ocak,🔍 GFI,7.2,52.24,47.8,55.17
21 Ocak,🔍 IR,7.2,88.61,84.11,91.15
21 Ocak,🔍 NTR,7.2,68.89,65.13,71.07
21 Ocak,🔍 ADM,7.2,67.19,63.65,69.22
21 Ocak,🔍 FE,7.2,47.13,45.54,48.4
21 Ocak,🔍 SQM,7.2,81.12,75.38,84.74
21 Ocak,🔍 RBA,7.2,114.96,110.32,118.05
21 Ocak,🔍 JNJ,7.1,215.49,206.64,221.28
21 Ocak,🔍 AMD,7.1,245.06,224.85,258.28
20 Ocak,🔍 LYG,7.6,5.5,5.31,5.65
20 Ocak,🔍 FE,7.4,47.1,45.52,48.36
20 Ocak,🔍 AMD,7.3,231.45,212.76,243.63
20 Ocak,🔍 MNST,7.3,81.14,77.79,83.33
20 Ocak,🔍 MT,7.3,48.54,46.43,49.85
20 Ocak,🔍 ADM,7.3,65.93,62.42,67.94
20 Ocak,🔍 SCCO,7.2,183.89,172.3,190.95
20 Ocak,🔍 BBVA,7.2,24.06,23.1,24.71
20 Ocak,🔍 NTR,7.2,67.31,63.57,69.49
20 Ocak,🔍 UMC,7.2,10.76,10.04,11.19
20 Ocak,🔍 SQM,7.2,79.19,73.52,82.79
20 Ocak,🔍 DGX,7.2,189.98,182.05,195.09
20 Ocak,🔍 RBA,7.2,113.17,108.52,116.21
20 Ocak,🔍 BUD,7.1,68.71,66.29,70.56
20 Ocak,🔍 EL,7.1,113.9,107.35,117.78
20 Ocak,🔍 NI,7.1,43.52,41.87,44.69
20 Ocak,🔍 WMT,7,118.17,112.75,121.35
20 Ocak,🔍 HON,7,214.46,205.4,220.22
20 Ocak,🔍 LHX,7,340.97,321.48,352.47
20 Ocak,🔍 SATS,7,123.49,112.2,131.04
19 Ocak,🔍 WMT,8.4,119.7,114.46,122.92
19 Ocak,🔍 EL,8.1,115.05,108.4,118.99
19 Ocak,🔍 EC,8.1,12.25,11.53,12.68
19 Ocak,🔍 LMT,7.9,582.43,549.91,601.45
19 Ocak,🔍 BUD,7.9,68.57,66.15,70.41
19 Ocak,🔍 EMR,7.9,149.46,142.79,153.48
19 Ocak,🔍 MNST,7.9,78.17,75.14,80.27
19 Ocak,🔍 ADM,7.9,65.18,61.75,67.14
19 Ocak,🔍 CNI,7.8,100.11,96.05,102.8
19 Ocak,🔍 XYL,7.8,146.13,140.52,150.06
19 Ocak,🔍 HSY,7.7,197.76,188.1,203.11
19 Ocak,🔍 LHX,7.6,346.46,326.98,357.89
19 Ocak,🔍 FE,7.6,47.34,45.77,48.61
19 Ocak,🔍 AMAT,7.4,327.01,305.03,340.67
19 Ocak,🔍 INTC,7.4,46.96,42.52,49.95
19 Ocak,🔍 SAN,7.4,12.23,11.8,12.56
19 Ocak,🔍 SCCO,7.4,180.95,169.44,187.99
19 Ocak,🔍 LYG,7.4,5.49,5.3,5.64
19 Ocak,🔍 CMI,7.4,578.94,554.54,594.51
19 Ocak,🔍 MUFG,7.3,18.9,18.15,19.41
19 Ocak,🔍 HSY,7.8,197.76,188.1,203.11
16 Ocak,🔍 WMT,7.9,118.35,113.41,121.53
16 Ocak,🔍 BUD,7.9,68.44,66.03,70.29
16 Ocak,🔍 EL,7.7,114.15,107.52,118.09
16 Ocak,🔍 LHX,7.6,347.02,327.61,358.4
16 Ocak,🔍 INTC,7.4,47.54,43.1,50.53
16 Ocak,🔍 SCCO,7.4,180.55,169.04,187.59
16 Ocak,🔍 MMM,7.4,169.88,162.77,174.45
16 Ocak,🔍 JNJ,7.3,218.6,210.31,224.48
16 Ocak,🔍 MT,7.3,48.73,46.58,50.04
16 Ocak,🔍 XOM,7.2,129.87,124.25,133.36
16 Ocak,🔍 BABA,7.2,165.16,153.47,172.53
16 Ocak,🔍 CAT,7.2,643.32,610.19,662.1
16 Ocak,🔍 RTX,7.2,201.72,192.56,207.14
16 Ocak,🔍 MUFG,7.2,18.86,18.11,19.37
16 Ocak,🔍 BA,7.2,247.47,235.85,254.12
16 Ocak,🔍 DHR,7.2,237.13,226.51,243.51
16 Ocak,🔍 PH,7.2,943.89,906.47,969.27
16 Ocak,🔍 NOC,7.2,667.28,628.32,690.43
16 Ocak,🔍 BK,7.2,122.64,117.7,125.94
16 Ocak,🔍 EMR,7.2,149.47,142.8,153.49
16 Ocak,🔍 LMT,8.1,577.89,544.09,598
16 Ocak,🔍 NOC,8.1,654.61,614.98,678.46
16 Ocak,🔍 EL,8.1,115.65,108.94,119.63
16 Ocak,🔍 CCJ,8,112.84,104.58,118.09
16 Ocak,🔍 LHX,7.9,340.42,320.86,351.98
16 Ocak,🔍 ADM,7.9,66.57,63.12,68.53
16 Ocak,🔍 BUD,7.6,68.72,66.22,70.57
16 Ocak,🔍 SATS,7.6,123.55,112.25,131.11
16 Ocak,🔍 WMT,7.5,119.2,114.14,122.41
16 Ocak,🔍 FNV,7.5,240.32,225.66,249.16
16 Ocak,🔍 INTC,7.4,48.32,44.02,51.18
16 Ocak,🔍 SCCO,7.4,182.97,171.6,189.87
16 Ocak,🔍 MMM,7.4,171.1,163.94,175.7
16 Ocak,🔍 CTVA,7.4,70.5,67.46,72.4
16 Ocak,🔍 JNJ,7.3,219.57,211.04,225.47
16 Ocak,🔍 BHP,7.3,66.03,63.07,67.81
16 Ocak,🔍 LOW,7.3,277.01,263.93,284.46
16 Ocak,🔍 MT,7.3,48.41,46.25,49.71
16 Ocak,🔍 XYL,7.3,144.81,139.27,148.7
16 Ocak,🔍 EC,7.3,11.68,11,12.09
15 Ocak,🔍 LMT,8.1,573.78,540.52,593.5
15 Ocak,🔍 NOC,8.1,653.52,614.46,676.91
15 Ocak,🔍 LHX,7.9,338.71,319.17,350.28
15 Ocak,🔍 EL,7.9,116.79,110.1,120.74
15 Ocak,🔍 WMT,7.8,119.42,114.42,122.63
15 Ocak,🔍 FNV,7.5,241.05,226.43,249.85
15 Ocak,🔍 INTC,7.4,49.11,44.8,51.97
15 Ocak,🔍 SCCO,7.4,183.26,171.94,190.13
15 Ocak,🔍 SQM,7.4,80.27,75.01,83.51
15 Ocak,🔍 LOW,7.3,275.89,262.84,283.31
15 Ocak,🔍 EC,7.3,11.65,10.97,12.06
15 Ocak,🔍 TSM,7.2,343.81,323.98,355.55
15 Ocak,🔍 XOM,7.2,129.9,124.11,133.39
15 Ocak,🔍 BABA,7.2,172.22,160.66,179.4
15 Ocak,🔍 RTX,7.2,199.5,190.19,204.86
15 Ocak,🔍 BA,7.2,247.77,235.87,254.43
15 Ocak,🔍 BHP,7.2,66.35,63.38,68.13
15 Ocak,🔍 PH,7.2,944.64,906.86,970.04
15 Ocak,🔍 EMR,7.2,148.54,141.88,152.53
15 Ocak,🔍 CMI,7.2,577.1,552.36,592.62
14 Ocak,🔍 SCCO,8,179.77,168.71,186.46
14 Ocak,🔍 FNV,8,236.6,221.89,245.53
14 Ocak,🔍 SQM,8,83.49,78.25,86.68
14 Ocak,🔍 BHP,7.9,65.83,62.82,67.6
14 Ocak,🔍 EL,7.9,116.79,109.99,120.82
14 Ocak,🔍 BUD,7.8,68.71,66.16,70.56
14 Ocak,🔍 CCJ,7.8,111.01,102.82,116.23
14 Ocak,🔍 LMT,7.5,576.73,543.38,596.49
14 Ocak,🔍 NTR,7.5,65.98,62.27,68.16
14 Ocak,🔍 INTC,7.4,48.37,44.11,51.21
14 Ocak,🔍 SATS,7.4,130.63,119.94,137.61
14 Ocak,🔍 RTX,7.3,197.12,187.78,202.42
14 Ocak,🔍 LOW,7.3,274.41,261.26,281.79
14 Ocak,🔍 NOC,7.3,654.32,615.55,677.48
14 Ocak,🔍 FCX,7.3,60.41,56.8,62.57
14 Ocak,🔍 SLB,7.3,47.12,44.36,48.76
14 Ocak,🔍 LHX,7.3,341.82,322.31,353.33
14 Ocak,🔍 AEP,7.3,118.38,114.22,121.56
14 Ocak,🔍 SNDK,7.3,380.57,331.6,415.18
14 Ocak,🔍 PHG,7.3,30.05,28.94,30.86
13 Ocak,🔍 SCCO,8,174.16,163.23,180.83
13 Ocak,🔍 FNV,8,236.38,222.09,244.98
13 Ocak,🔍 FTAI,8,257,236.58,270.25
13 Ocak,🔍 LMT,7.9,558.28,525.89,577.49
13 Ocak,🔍 LHX,7.9,337.81,318.65,349.08
13 Ocak,🔍 NOC,7.8,624.76,588.07,646.62
13 Ocak,🔍 VALE,7.8,14.11,13.46,14.49
13 Ocak,🔍 F,7.8,14.02,13.4,14.4
13 Ocak,🔍 CCJ,7.8,109.29,101.24,114.42
13 Ocak,🔍 MT,7.8,48.22,46.09,49.52
13 Ocak,🔍 RTX,7.7,194.36,185.19,199.59
13 Ocak,🔍 BE,7.7,143.64,124.92,156.89
13 Ocak,🔍 BHP,7.6,64.22,61.31,65.95
13 Ocak,🔍 VLO,7.6,183.31,170.84,191.09
13 Ocak,🔍 INTC,7.4,47.78,43.5,50.63
13 Ocak,🔍 BABA,7.3,167.62,156.13,174.8
13 Ocak,🔍 PHG,7.3,29.62,28.53,30.42
13 Ocak,🔍 WMT,7.2,120.25,115.16,123.48
13 Ocak,🔍 XOM,7.2,126.99,121.47,130.4
13 Ocak,🔍 CAT,7.2,640.72,607.29,659.78
12 Ocak,🔍 SCCO,8,176.74,165.59,183.54
12 Ocak,🔍 BABA,7.9,167.31,155.85,174.47
12 Ocak,🔍 F,7.8,14.03,13.41,14.41
12 Ocak,🔍 MT,7.8,48.1,45.96,49.39
12 Ocak,🔍 BHP,7.7,63.02,60.17,64.71
12 Ocak,🔍 FCX,7.6,58.74,55.11,60.94
12 Ocak,🔍 VALE,7.6,13.97,13.33,14.35
12 Ocak,🔍 LMT,7.5,547.4,514.65,567.03
12 Ocak,🔍 WMT,7.4,118.61,113.59,121.79
12 Ocak,🔍 SATS,7.4,125.83,115.62,132.49
12 Ocak,🔍 FTAI,7.4,245.54,225.77,258.41
12 Ocak,🔍 TMO,7.3,609.13,580.97,625.51
12 Ocak,🔍 SLB,7.3,44.93,42.24,46.54
12 Ocak,🔍 PHG,7.3,29.8,28.7,30.6
12 Ocak,🔍 CVX,7.2,162.72,155.41,167.1
12 Ocak,🔍 NOC,7.2,627.96,591.02,649.98
12 Ocak,🔍 NGG,7.2,79.54,77.14,81.68
12 Ocak,🔍 HLT,7.2,300.84,288.77,308.93
12 Ocak,🔍 ROST,7.2,192.35,185.27,197.52
12 Ocak,🔍 CCJ,7.2,110.43,102.23,115.67
10 Ocak,🔍 SCCO,8.2,170.52,159.57,177.24
10 Ocak,🔍 FNV,8.1,228.77,214.33,237.57
10 Ocak,🔍 TJX,7.9,157.81,152.32,162.05
10 Ocak,🔍 LOW,7.9,267.21,254,274.57
10 Ocak,🔍 FCX,7.8,56.53,52.98,58.69
10 Ocak,🔍 MT,7.8,46.97,44.87,48.23
10 Ocak,🔍 VALE,7.7,13.97,13.3,14.35
10 Ocak,🔍 TPG,7.7,66.79,62.85,69.14
10 Ocak,🔍 RKT,7.6,23.29,21.48,24.46
10 Ocak,🔍 F,7.6,14.2,13.56,14.58
10 Ocak,🔍 SATS,7.6,120,110.24,126.36
10 Ocak,🔍 RTX,7.5,188.5,179.48,193.57
10 Ocak,🔍 PNC,7.5,217.55,209.04,223.4
10 Ocak,🔍 HBAN,7.5,18.24,17.46,18.73
10 Ocak,🔍 COP,7.4,97.51,91.66,101.02
10 Ocak,🔍 CCJ,7.4,107.56,99.36,112.83
10 Ocak,🔍 ADM,7.4,61.94,58.62,63.85
10 Ocak,🔍 DLTR,7.4,132.38,124.47,137.12
10 Ocak,🔍 FTAI,7.4,245.73,225.49,258.97
10 Ocak,🔍 TSM,7.3,323.63,305.69,334.09
09 Ocak,🔍 TPG,7.3,66.79,62.85,69.14
09 Ocak,🔍 LRCX,7.2,218.36,201.9,228.91
09 Ocak,🔍 UBS,7.2,47.57,45.89,48.85
09 Ocak,🔍 SCCO,7.2,170.52,159.57,177.24
09 Ocak,🔍 FCX,7.2,56.53,52.98,58.69
09 Ocak,🔍 NGG,7.2,80.12,77.68,82.27
09 Ocak,🔍 CCJ,7.2,107.56,99.36,112.83
09 Ocak,🔍 MCHP,7.2,75.22,70.19,78.34
09 Ocak,🔍 SATS,7.2,120,110.24,126.36
09 Ocak,🔍 ON,7.2,62.16,58.18,64.6
09 Ocak,🔍 FTAI,7.2,245.73,225.49,258.97
09 Ocak,🔍 TMO,7.1,618.86,591.26,635.5
09 Ocak,🔍 PNC,7.1,217.55,209.04,223.4
09 Ocak,🔍 WDC,7.1,200.46,176.09,217.55
09 Ocak,🔍 SLB,7.1,45.2,42.49,46.83
09 Ocak,🔍 URI,7.1,938.79,885.31,970.31
09 Ocak,🔍 VALE,7.1,13.97,13.3,14.35
09 Ocak,🔍 IQV,7.1,242.41,231.15,248.93
09 Ocak,🔍 HBAN,7.1,18.24,17.46,18.73
09 Ocak,🔍 PHG,7.1,29.58,28.49,30.38
08 Ocak,🔍 LRCX,7.2,200.96,186,210.52
08 Ocak,🔍 CCJ,7.2,105.76,98.17,110.56
08 Ocak,🔍 ON,7.2,60.89,56.91,63.35
08 Ocak,🔍 FTAI,7.2,238.8,219.12,251.68
08 Ocak,🔍 ASML,7.1,1194.32,1125.63,1234.94
08 Ocak,🔍 TMO,7.1,606.5,579.71,622.81
08 Ocak,🔍 BHP,7.1,62.95,60.2,64.64
08 Ocak,🔍 COF,7.1,255.68,244.6,262.55
08 Ocak,🔍 PNC,7.1,218.64,209.97,224.52
08 Ocak,🔍 ASX,7.1,17.33,16.39,17.87
08 Ocak,🔍 RF,7.1,28.84,27.61,29.62
08 Ocak,🔍 TSM,7,318.01,299.93,328.66
08 Ocak,🔍 SCCO,7,160.55,150.39,166.75
08 Ocak,🔍 IBKR,7,70.16,66.18,72.5
08 Ocak,🔍 FCX,7,54.22,50.79,56.31
08 Ocak,🔍 SLB,7,44.43,41.67,46.1
08 Ocak,🔍 VALE,7,14.07,13.4,14.45
08 Ocak,🔍 RKT,7,21.24,19.61,22.29
08 Ocak,🔍 LHX,7,325.74,309.03,335.2
08 Ocak,🔍 MCHP,7,73.53,68.52,76.66
07 Ocak,🔍 SCCO,7.2,158.09,148.19,164.11
07 Ocak,🔍 FTAI,7.2,240.63,221.91,252.72
07 Ocak,🔍 TMO,7.1,617.15,591.19,633.74
07 Ocak,🔍 FCX,7.1,55.5,52.12,57.53
07 Ocak,🔍 ASX,7.1,17.62,16.67,18.17
07 Ocak,🔍 TSM,7,318.68,300.49,329.41
07 Ocak,🔍 ASML,7,1228.47,1161.93,1266.96
07 Ocak,🔍 SLB,7,42.37,39.74,43.96
07 Ocak,🔍 VALE,7,14.26,13.61,14.64
07 Ocak,🔍 MCHP,7,73.94,68.89,77.09
07 Ocak,🔍 MT,7,47.88,45.77,49.17
07 Ocak,🔍 HAL,7,30.38,28.38,31.61
07 Ocak,🔍 RKT,6.9,21.28,19.65,22.33
07 Ocak,🔍 RGC,6.9,52.88,44.51,58.94
07 Ocak,🔍 EMR,6.8,142.15,135.2,146
07 Ocak,🔍 STM,6.8,28.88,27.37,29.74
07 Ocak,🔍 CVX,6.7,155.2,148.15,159.37
07 Ocak,🔍 INTC,6.6,42.63,38.96,45.05
07 Ocak,🔍 VLO,6.6,183.86,172.43,190.8
07 Ocak,🔍 LRCX,6.5,203.08,188.17,212.57
06 Ocak,🔍 SCCO,7.2,158.09,148.19,164.11
06 Ocak,🔍 FTAI,7.2,240.63,221.91,252.72
06 Ocak,🔍 TMO,7.1,617.15,591.19,633.74
06 Ocak,🔍 FCX,7.1,55.5,52.12,57.53
06 Ocak,🔍 ASX,7.1,17.62,16.67,18.17
06 Ocak,🔍 TSM,7,318.68,300.49,329.41
06 Ocak,🔍 ASML,7,1228.47,1161.93,1266.96
06 Ocak,🔍 SLB,7,42.37,39.74,43.96
06 Ocak,🔍 VALE,7,14.26,13.61,14.64
06 Ocak,🔍 MCHP,7,73.94,68.89,77.09
06 Ocak,🔍 MT,7,47.88,45.77,49.17
06 Ocak,🔍 HAL,7,30.38,28.38,31.61
06 Ocak,🔍 RKT,6.9,21.28,19.65,22.33
06 Ocak,🔍 RGC,6.9,52.88,44.51,58.94
06 Ocak,🔍 EMR,6.8,142.15,135.2,146
06 Ocak,🔍 STM,6.8,28.88,27.37,29.74
06 Ocak,🔍 CVX,6.7,155.2,148.15,159.37
06 Ocak,🔍 INTC,6.6,42.63,38.96,45.05
06 Ocak,🔍 VLO,6.6,183.86,172.43,190.8
06 Ocak,🔍 LRCX,6.5,203.08,188.17,212.57
05 Ocak,🔍 SLB,7.1,43.8,41.2,45.36
05 Ocak,🔍 BNS,7,74.72,72.53,76.73
05 Ocak,🔍 FTAI,7,225.95,208.93,236.86
05 Ocak,🔍 ASML,6.8,1228.19,1158.96,1268.83
05 Ocak,🔍 SATS,6.5,110.67,101.91,116.35
05 Ocak,🔍 HAL,6.5,31.92,29.96,33.1
05 Ocak,🔍 GE,6.4,324.32,309.08,333.04
05 Ocak,🔍 RY,6.4,173.11,168.17,177.76
05 Ocak,🔍 C,6.4,123.3,117.58,126.62
05 Ocak,🔍 SAN,6.4,12.09,11.65,12.42
05 Ocak,🔍 TD,6.4,96.11,93.28,98.69
05 Ocak,🔍 BHP,6.4,63.14,60.58,64.84
05 Ocak,🔍 UBS,6.4,48.11,46.37,49.4
05 Ocak,🔍 BBVA,6.4,24.19,23.31,24.84
05 Ocak,🔍 RIO,6.4,83.21,80.11,85.45
05 Ocak,🔍 BCS,6.4,26.32,25.39,27.03
05 Ocak,🔍 ING,6.4,28.92,27.98,29.7
05 Ocak,🔍 LYG,6.4,5.47,5.27,5.62
05 Ocak,🔍 NWG,6.4,18.09,17.48,18.58
05 Ocak,🔍 RKT,6.4,21.1,19.53,22.1
02 Ocak,🔍 CAT,6.5,598.41,567.92,615.62
02 Ocak,🔍 JBL,6.5,240.39,224.02,250.6
02 Ocak,🔍 GE,6.4,320.75,305.76,329.37
02 Ocak,🔍 MU,6.4,315.42,287.03,334.35
02 Ocak,🔍 RY,6.4,170.78,165.97,175.37
02 Ocak,🔍 C,6.4,118.7,113.39,121.89
02 Ocak,🔍 SAN,6.4,12.07,11.63,12.39
02 Ocak,🔍 TD,6.4,94.54,91.82,97.08
02 Ocak,🔍 BHP,6.4,61.76,59.29,63.42
02 Ocak,🔍 COF,6.4,247.93,237.97,254.6
02 Ocak,🔍 UBS,6.4,47.1,45.45,48.37
02 Ocak,🔍 BBVA,6.4,23.99,23.11,24.64
02 Ocak,🔍 RIO,6.4,81.43,78.41,83.62
02 Ocak,🔍 BNS,6.4,74.53,72.38,76.53
02 Ocak,🔍 BCS,6.4,26.05,25.13,26.75
02 Ocak,🔍 ING,6.4,28.76,27.83,29.53
02 Ocak,🔍 JCI,6.4,122.31,117.35,125.6
02 Ocak,🔍 LYG,6.4,5.39,5.2,5.53
02 Ocak,🔍 FCX,6.4,51.93,48.95,53.69
02 Ocak,🔍 NWG,6.4,17.82,17.22,18.3
01 Ocak,🔍 CIEN,6.5,233.87,213.76,247.15
01 Ocak,🔍 SATS,6.5,108.7,99.8,114.52
01 Ocak,🔍 RY,6.4,170.49,165.61,175.07
01 Ocak,🔍 C,6.4,116.69,111.36,119.83
01 Ocak,🔍 SAN,6.4,11.73,11.31,12.05
01 Ocak,🔍 TD,6.4,94.2,91.46,96.73
01 Ocak,🔍 UBS,6.4,46.31,44.69,47.56
01 Ocak,🔍 BBVA,6.4,23.31,22.48,23.94
01 Ocak,🔍 RIO,6.4,80.03,77.06,82.18
01 Ocak,🔍 BNS,6.4,73.69,71.57,75.67
01 Ocak,🔍 BCS,6.4,25.45,24.56,26.13
01 Ocak,🔍 ING,6.4,28,27.13,28.75
01 Ocak,🔍 LYG,6.4,5.3,5.12,5.44
01 Ocak,🔍 NWG,6.4,17.5,16.92,17.97
01 Ocak,🔍 NDAQ,6.4,97.13,93.67,99.74
01 Ocak,🔍 PUK,6.4,31.12,30.07,31.96
01 Ocak,🔍 TEVA,6.4,31.21,29.83,32.05
01 Ocak,🔍 ASX,6.4,16.1,15.26,16.58
01 Ocak,🔍 MT,6.4,45.57,43.76,46.8
01 Ocak,🔍 FOXA,6.4,73.07,70.14,75.03
